name,nominal,price,nkd,cost,coupon,rate,profitability
RZhD BO-001P-02R,RUB:1000.0,84.33,RUB:9.0,RUB:852.0,RUB:42.0,8.5,9.95
RZhD BO-001P-03R,RUB:1000.0,93.86,RUB:4.0,RUB:943.0,RUB:41.0,8.4,8.19
RZhD BO-001P-04R,RUB:1000.0,90.94,RUB:24.0,RUB:934.0,RUB:41.0,8.25,8.72
RZhD BO-02,RUB:1000.0,102.46,RUB:22.0,RUB:1047.0,RUB:104.0,21.0,14.38
RZhD BO-05,RUB:1000.0,0.0,RUB:13.0,RUB:0.0,RUB:46.0,9.3,0.0
RZhD BO-07,RUB:1000.0,86.77,RUB:12.0,RUB:881.0,RUB:38.0,7.75,17.26
RZD BO-11,RUB:1000.0,102.75,RUB:24.0,RUB:1052.0,RUB:43.0,8.65,6.73
RZD BO-17,RUB:1000.0,80.38,RUB:2.0,RUB:806.0,RUB:49.0,9.85,11.9
RZD ZO25-2-P,RUB:100000.0,89.0,RUB:1246.0,RUB:90297.0,RUB:4400.0,8.82,20.51
RZD ZO26-1-FR,CHF:5000.0,89.0,CHF:3362.0,CHF:7815.0,CHF:42.0,0.88,-27.78
RZD ZO26-2-P,RUB:100000.0,79.5,RUB:1598.0,RUB:81144.0,RUB:3837.0,7.74,20.29
RZD ZO28-1-P,RUB:100000.0,70.39,RUB:1521.0,RUB:71951.0,RUB:3299.0,6.65,18.82
RZD ZO28-2-FR,CHF:5000.0,75.64,CHF:4386.0,CHF:8171.0,CHF:59.0,1.24,-11.37
RZD ZO28-3-P,RUB:100000.0,67.5,RUB:1386.0,RUB:68925.0,RUB:3725.0,7.51,20.05
Retail Bel Finance 001P-01,RUB:500.0,96.47,RUB:11.0,RUB:494.0,RUB:11.0,9.45,9.61
Retail Bel Finance 001P-02,RUB:1000.0,85.75,RUB:22.0,RUB:880.0,RUB:25.0,10.35,20.91
RKK BO-01,RUB:1000.0,67.19,RUB:3.0,RUB:675.0,RUB:47.0,19.0,51.18
RKK BO-02,RUB:1000.0,50.0,RUB:33.0,RUB:533.0,RUB:44.0,18.0,59.48
RKK BO-03,RUB:1000.0,47.81,RUB:23.0,RUB:502.0,RUB:41.0,16.5,50.53
TD RKS-Sochi 002P-02,RUB:1000.0,98.39,RUB:2.0,RUB:986.0,RUB:37.0,15.0,18.71
TD RKS-Sochi 002P-03,RUB:1000.0,72.14,RUB:29.0,RUB:751.0,RUB:38.0,15.25,38.01
TD RKS 002P-04,RUB:1000.0,73.7,RUB:36.0,RUB:773.0,RUB:49.0,20.0,33.74
SFO VTB RKS Etalon 01,RUB:496.0,91.22,RUB:3.0,RUB:456.0,RUB:4.0,10.99,19.16
SFO VTB RKS Etalon 02,RUB:719.0,88.01,RUB:4.0,RUB:638.0,RUB:6.0,11.0,12.75
SFO VTB RKS Etalon 03,RUB:1000.0,88.51,RUB:8.0,RUB:893.0,RUB:11.0,13.5,14.67
SFO VTB RKS Etalon 04,RUB:1000.0,99.9,RUB:28.0,RUB:1028.0,RUB:32.0,21.5,17.92
LC Rodelen BO 001P-03,RUB:1000.0,99.05,RUB:8.0,RUB:999.0,RUB:12.0,15.0,13.26
LC Rodelen BO 001P-04,RUB:1000.0,88.61,RUB:1.0,RUB:888.0,RUB:11.0,14.0,17.26
LC Rodelen BO 002P-01,RUB:1000.0,82.3,RUB:9.0,RUB:832.0,RUB:12.0,15.76,21.25
LC Rodelen BO 002P-02,RUB:1000.0,74.18,RUB:7.0,RUB:750.0,RUB:14.0,17.99,23.76
ROLF BO 001P-03,RUB:1000.0,95.4,RUB:1.0,RUB:955.0,RUB:18.0,22.0,23.3
IDGC of Urals BO-03,RUB:1000.0,90.48,RUB:7.0,RUB:913.0,RUB:43.0,8.8,10.2
IDGC of Urals BO-04,RUB:1000.0,88.99,RUB:7.0,RUB:898.0,RUB:43.0,8.8,10.66
Rosagroleasing 001P-01,RUB:1000.0,92.0,RUB:36.0,RUB:956.0,RUB:36.0,7.35,19.92
Rosagroleasing 001P-02,RUB:1000.0,84.9,RUB:19.0,RUB:868.0,RUB:39.0,7.9,19.67
Rosagroleasing 001P-03,RUB:1000.0,81.95,RUB:15.0,RUB:835.0,RUB:42.0,8.45,18.99
Rosagroleasing 001P-04,RUB:1000.0,89.5,RUB:65.0,RUB:961.0,RUB:72.0,14.5,15.24
Rosagroleasing 001P-05,RUB:1000.0,92.87,RUB:13.0,RUB:942.0,RUB:17.0,20.32,20.17
Rosagroleasing 002P-01,RUB:1000.0,94.49,RUB:12.0,RUB:958.0,RUB:17.0,20.33,19.49
Rosagroleasing 002P-03,RUB:1000.0,96.68,RUB:13.0,RUB:980.0,RUB:17.0,20.77,19.34
Rosbank BO-11,RUB:1000.0,100.25,RUB:58.0,RUB:1061.0,RUB:67.0,13.5,10.56
Rosbank BO-12,RUB:1000.0,100.54,RUB:58.0,RUB:1064.0,RUB:67.0,13.5,10.4
Rosbank BO-19,RUB:1000.0,95.0,RUB:0.0,RUB:951.0,RUB:4.0,1.0,5.75
Rosbank BO-20,RUB:1000.0,84.91,RUB:0.0,RUB:849.0,RUB:4.0,1.0,11.42
Rosbank BO-25,RUB:1000.0,105.0,RUB:3.0,RUB:1053.0,RUB:5.0,1.0,-6.36
RosbankBO-26,RUB:1000.0,90.0,RUB:26.0,RUB:927.0,RUB:38.0,7.65,12.58
Rosbank BO-08,RUB:1000.0,86.0,RUB:0.0,RUB:861.0,RUB:4.0,1.0,16.56
Rosbank BO12,RUB:1000.0,83.78,RUB:1.0,RUB:839.0,RUB:4.0,1.0,10.09
Rosgeo001P-02,RUB:1000.0,0.0,RUB:17.0,RUB:0.0,RUB:17.0,21.5,0.0
